Job Name,Standard Processing Duration PC1,Standard Processing Duration PC2,Standard Processing Duration PC3,Standard Processing Duration PC4,Standard Processing Duration PC5,Standard Processing Duration PC6,Required Memory Size For Execution,Required Disk Size For Execution,Docker File Size,Docker File Generation Duration On Master PC,Estimated Result File Size,Thread Process Count
Network Simulator,02:14:46,01:06:44,00:54:21,00:39:40,00:36:09,01:05:59,0.0272GB,0.381GB,0.392GB,00:01:26,17KB,1
Optimization Algorithm,00:41:43,00:26:38,00:20:27,00:13:53,00:13:10,00:25:24,0.0276GB,1.37GB,1.5GB,00:02:21,8KB,1
DCGAN,01:37:14,01:09:28,00:22:44,00:12:45,00:11:15,01:09:43,1.5476GB,1.87GB,1.9GB,00:04:15,20KB,17
RNN,00:17:43,00:12:01,00:07:03,00:05:37,00:04:49,00:12:15,1.2144GB,1.83GB,1.9GB,00:03:36,8KB,17
CNN,00:26:04,00:22:22,00:07:07,00:05:24,00:04:47,00:21:18,1.4012GB,1.83GB,1.9GB,00:06:19,4KB,17
FFmpeg,00:46:37,00:31:49,00:13:23,00:07:59,00:06:54,00:30:31,0.8676GB,2.74GB,2.8GB,00:06:20,1.7GB,18
Converter,00:17:09,00:11:34,00:05:41,00:04:53,00:04:15,00:13:14,0.7556GB,1.08GB,1.1GB,00:07:16,179.3MB,1
Palabos,00:12:51,00:08:38,00:05:24,00:04:29,00:03:19,00:10:13,0.9184GB,6.66GB,6.7GB,00:14:37,250KB,2
Flow,00:25:20,00:14:45,00:11:08,00:08:32,00:07:55,00:14:22,0.7188GB,0.430GB,0.438GB,00:01:49,0KB,4
blockchain mining,00:36:28,00:09:09,00:07:53,00:05:59,00:04:14,00:09:11,2.8843GB,0.920GB,920MB,00:01:49,366KB,1
Covid-19 detection,00:39:35,00:24:53,00:10:42,00:04:08,00:03:16,00:23:46,1.6825GB,2.95GB,2.95GB,00:02:34,66.2KB,23
Covid-19 outbreak prediction,00:13:12,00:06:35,00:05:09,00:03:55,00:03:01,00:06:30,1.5983GB,3.01GB,1.84GB,00:01:23,23KB,4
multimedia content resizing,00:34:50,00:19:47,00:12:33,00:07:48,00:07:10,00:19:28,0.8676GB,2.74GB,2.8GB,00:06:20,538.3MB,18
multimedia content format changing,00:36:33,00:24:56,00:10:55,00:05:45,00:04:19,00:24:59,0.6188GB,2.74GB,2.8GB,00:06:20,2.1GB,18
